millis,stamp,datetime,soilmoisture
3719999, 1565961060, 2019/8/16 13:11:0, 622
3750999, 1565961060, 2019/8/16 13:11:0, 622
3781999, 1565961060, 2019/8/16 13:11:0, 622
3813000, 1565961060, 2019/8/16 13:11:0, 623
3843999, 1565961060, 2019/8/16 13:11:0, 622
3874999, 1565961060, 2019/8/16 13:11:0, 623
3905998, 1565961060, 2019/8/16 13:11:0, 623
3937000, 1565961060, 2019/8/16 13:11:0, 623
3968000, 1565961060, 2019/8/16 13:11:0, 623
3998999, 1565961060, 2019/8/16 13:11:0, 623
4029999, 1565961060, 2019/8/16 13:11:0, 623
4060998, 1565961060, 2019/8/16 13:11:0, 623
4091999, 1565961060, 2019/8/16 13:11:0, 623
4122998, 1565961060, 2019/8/16 13:11:0, 623
4154000, 1565961060, 2019/8/16 13:11:0, 623
4184999, 1565961060, 2019/8/16 13:11:0, 623
4215999, 1565961060, 2019/8/16 13:11:0, 623
4246999, 1565961060, 2019/8/16 13:11:0, 623
4277999, 1565961060, 2019/8/16 13:11:0, 623
4309000, 1565961060, 2019/8/16 13:11:0, 624
4339998, 1565961060, 2019/8/16 13:11:0, 624
4370999, 1565961060, 2019/8/16 13:11:0, 624
4401998, 1565961060, 2019/8/16 13:11:0, 624
4432999, 1565961060, 2019/8/16 13:11:0, 624
4464000, 1565961060, 2019/8/16 13:11:0, 624
4495000, 1565961060, 2019/8/16 13:11:0, 625
4525999, 1565961060, 2019/8/16 13:11:0, 624
4556998, 1565961060, 2019/8/16 13:11:0, 625
4587999, 1565961060, 2019/8/16 13:11:0, 624
4618999, 1565961060, 2019/8/16 13:11:0, 624
4649999, 1565961060, 2019/8/16 13:11:0, 625
4680998, 1565961060, 2019/8/16 13:11:0, 625
4711999, 1565961060, 2019/8/16 13:11:0, 625
4743000, 1565961060, 2019/8/16 13:11:0, 625
4774000, 1565961060, 2019/8/16 13:11:0, 625
4805000, 1565961060, 2019/8/16 13:11:0, 625
4835998, 1565961060, 2019/8/16 13:11:0, 625
4866999, 1565961060, 2019/8/16 13:11:0, 625
4897998, 1565961060, 2019/8/16 13:11:0, 625
4928999, 1565961060, 2019/8/16 13:11:0, 625
4960000, 1565961060, 2019/8/16 13:11:0, 626
4990999, 1565961060, 2019/8/16 13:11:0, 626
